epoch,loss_G_total,loss_D_total,loss_paired,loss_cycle,loss_seg,loss_anatomy,mr2ct_ssim,ct2mr_ssim,mr2ct_mae,ct2mr_mae,mr2ct_psnr,ct2mr_psnr,mr2ct_rmse,ct2mr_rmse,mean_dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,mean_iou,iou_per_class,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,ct_seg_mean_dice,ct_seg_per_class,ct_seg_class_1,ct_seg_class_2,ct_seg_class_3,ct_seg_class_4,ct_seg_class_5,ct_seg_mean_iou,ct_seg_iou_per_class,ct_seg_iou_class_1,ct_seg_iou_class_2,ct_seg_iou_class_3,ct_seg_iou_class_4,ct_seg_iou_class_5
21,1.609675,0.405448,0.000000,0.399193,0.000000,0.000000,0.916150,0.833454,0.126059,0.271944,26.416488,20.437408,0.190387,0.386057,0.057195,0.057477,0.057477,0.057477,0.057477,0.056066,0.056916,"[0.05747663643465211, 0.057476639624558054, 0.057476636549186375, 0.05747663594172553, 0.0546744290654846]",0.057477,0.057477,0.057477,0.057477,0.054674,0.042507,"[0.04205607578576967, 0.04205607898569161, 0.0420560758007522, 0.042056075191900084, 0.044312324107351635]",0.042056,0.042056,0.042056,0.042056,0.044312,0.042282,"[0.04205607578576967, 0.04205607898569161, 0.0420560758007522, 0.042056075191900084, 0.04318744065521774]",0.042056,0.042056,0.042056,0.042056,0.043187
22,1.623941,0.400976,0.000000,0.400616,0.000000,0.000000,0.911641,0.832472,0.126636,0.273522,26.087855,20.439757,0.196075,0.385193,0.057131,0.057477,0.057477,0.057477,0.057477,0.055748,0.056884,"[0.057476636403308676, 0.05747663995096586, 0.05747663679678065, 0.057476635936994876, 0.054513565130013444]",0.057477,0.057477,0.057477,0.057477,0.054514,0.042542,"[0.04205607569515372, 0.042056079032155365, 0.042056076154982344, 0.042056075172554115, 0.04448371568356314]",0.042056,0.042056,0.042056,0.042056,0.044484,0.042300,"[0.04205607569515372, 0.042056079032155365, 0.042056076154982344, 0.042056075172554115, 0.04327360320236314]",0.042056,0.042056,0.042056,0.042056,0.043274
23,1.652365,0.391090,0.000000,0.403483,0.000000,0.000000,0.921817,0.833180,0.108233,0.278448,27.259523,20.299183,0.169746,0.393628,0.057327,0.057477,0.057477,0.057477,0.057477,0.056727,0.056983,"[0.057476636271899355, 0.05747663880785211, 0.057476636901483504, 0.05747663592424783, 0.05500743310059635]",0.057477,0.057477,0.057477,0.057477,0.055007,0.042656,"[0.04205607562451122, 0.042056078442948557, 0.04205607624672311, 0.04205607515004086, 0.045055294867169145]",0.042056,0.042056,0.042056,0.042056,0.045055,0.042357,"[0.04205607562451122, 0.042056078442948557, 0.04205607624672311, 0.04205607515004086, 0.04356166634315726]",0.042056,0.042056,0.042056,0.042056,0.043562
24,1.653973,0.391710,0.000000,0.400658,0.000000,0.000000,0.910464,0.817114,0.136575,0.619582,26.179615,14.830508,0.195415,0.767113,0.057266,0.057477,0.057477,0.057477,0.057477,0.056423,0.056952,"[0.05747663609037345, 0.057476641949725474, 0.05747663718470607, 0.05747663594031647, 0.05485439167076955]",0.057477,0.057477,0.057477,0.057477,0.054854,0.042563,"[0.04205607540534283, 0.04205607991314971, 0.04205607640652731, 0.04205607518268685, 0.04458846591364356]",0.042056,0.042056,0.042056,0.042056,0.044588,0.042310,"[0.04205607540534283, 0.04205607991314971, 0.04205607640652731, 0.04205607518268685, 0.04332664525153612]",0.042056,0.042056,0.042056,0.042056,0.043327
25,1.747266,0.372702,0.000000,0.433504,0.000000,0.000000,0.920581,0.833171,0.116353,0.278730,26.833859,20.208684,0.181859,0.397142,0.057217,0.057477,0.057477,0.057477,0.057477,0.056177,0.056927,"[0.05747663634920509, 0.05747664018373234, 0.0574766365971771, 0.05747663595653565, 0.05473029790991813]",0.057477,0.057477,0.057477,0.057477,0.054730,0.042525,"[0.042056075572420894, 0.04205607846770805, 0.04205607596706563, 0.04205607519520586, 0.04439878921809354]",0.042056,0.042056,0.042056,0.042056,0.044399,0.042291,"[0.042056075572420894, 0.04205607846770805, 0.04205607596706563, 0.04205607519520586, 0.04323127516505271]",0.042056,0.042056,0.042056,0.042056,0.043231
26,1.675309,0.384271,0.000000,0.400504,0.000000,0.000000,0.923257,0.834497,0.106201,0.255195,27.548636,20.925880,0.164491,0.362704,0.057222,0.057477,0.057477,0.057477,0.057477,0.056203,0.056930,"[0.057476636240756614, 0.05747663885185878, 0.057476636995261, 0.05747663592962416, 0.05474322429414889]",0.057477,0.057477,0.057477,0.057477,0.054743,0.042562,"[0.042056075550917796, 0.04205607798011658, 0.04205607640588621, 0.04205607517053565, 0.04458745551562583]",0.042056,0.042056,0.042056,0.042056,0.044587,0.042310,"[0.042056075550917796, 0.04205607798011658, 0.04205607640588621, 0.04205607517053565, 0.043325984402347306]",0.042056,0.042056,0.042056,0.042056,0.043326
27,1.681983,0.381765,0.000000,0.399330,0.000000,0.000000,0.919082,0.836574,0.119580,0.268935,26.703361,20.533566,0.182921,0.381328,0.057154,0.057477,0.057477,0.057477,0.057477,0.055865,0.056896,"[0.05747663632446666, 0.05747664099179752, 0.05747663707078523, 0.05747663594009952, 0.05457258756998364]",0.057477,0.057477,0.057477,0.057477,0.054573,0.042508,"[0.04205607563591532, 0.042056080586491705, 0.04205607640564301, 0.04205607516934646, 0.044313860545212726]",0.042056,0.042056,0.042056,0.042056,0.044314,0.042283,"[0.04205607563591532, 0.042056080586491705, 0.04205607640564301, 0.04205607516934646, 0.043188215810191256]",0.042056,0.042056,0.042056,0.042056,0.043188
28,1.697012,0.377650,0.000000,0.393671,0.000000,0.000000,0.915362,0.832675,0.143295,0.279062,25.857985,20.389446,0.204657,0.387390,0.057194,0.057477,0.057477,0.057477,0.057477,0.056062,0.056916,"[0.05747663638891774, 0.05747663961279688, 0.05747663685282404, 0.057476635880367055, 0.05467233962226092]",0.057477,0.057477,0.057477,0.057477,0.054672,0.042523,"[0.04205607569074645, 0.04205607872336086, 0.04205607619415035, 0.04205607514947679, 0.044390336715751634]",0.042056,0.042056,0.042056,0.042056,0.044390,0.042290,"[0.04205607569074645, 0.04205607872336086, 0.04205607619415035, 0.04205607514947679, 0.04322666187441162]",0.042056,0.042056,0.042056,0.042056,0.043227
29,1.717768,0.369325,0.000000,0.399047,0.000000,0.000000,0.917014,0.837172,0.109878,0.260282,27.107182,20.786524,0.172543,0.371612,0.057178,0.057477,0.057477,0.057477,0.057477,0.055983,0.056908,"[0.05747663650199521, 0.057476637549855644, 0.057476636589315434, 0.05747663597034221, 0.05463192893067732]",0.057477,0.057477,0.057477,0.057477,0.054632,0.042519,"[0.04205607583787461, 0.042056076932115945, 0.04205607598675574, 0.04205607517825573, 0.044371392610678476]",0.042056,0.042056,0.042056,0.042056,0.044371,0.042288,"[0.04205607583787461, 0.042056076932115945, 0.04205607598675574, 0.04205607517825573, 0.043216975916413575]",0.042056,0.042056,0.042056,0.042056,0.043217
30,1.718549,0.363019,0.000000,0.393171,0.000000,0.000000,0.915279,0.836415,0.127593,0.257590,26.460020,20.880817,0.189807,0.367620,0.057213,0.057477,0.057477,0.057477,0.057477,0.056158,0.056925,"[0.05747663625367827, 0.057476639083420204, 0.0574766368006661, 0.05747663593111094, 0.054719843018468765]",0.057477,0.057477,0.057477,0.057477,0.054720,0.042547,"[0.04205607553445612, 0.042056078648890584, 0.042056076122588375, 0.04205607517993891, 0.044508666627075574]",0.042056,0.042056,0.042056,0.042056,0.044509,0.042302,"[0.04205607553445612, 0.042056078648890584, 0.042056076122588375, 0.04205607517993891, 0.043285922751668586]",0.042056,0.042056,0.042056,0.042056,0.043286
