epoch,loss_G_total,loss_D_total,loss_paired,loss_cycle,loss_seg,loss_anatomy,mr2ct_ssim,ct2mr_ssim,mr2ct_mae,ct2mr_mae,mr2ct_psnr,ct2mr_psnr,mr2ct_rmse,ct2mr_rmse,mean_dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,mean_iou,iou_per_class,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,ct_seg_mean_dice,ct_seg_per_class,ct_seg_class_1,ct_seg_class_2,ct_seg_class_3,ct_seg_class_4,ct_seg_class_5,ct_seg_mean_iou,ct_seg_iou_per_class,ct_seg_iou_class_1,ct_seg_iou_class_2,ct_seg_iou_class_3,ct_seg_iou_class_4,ct_seg_iou_class_5
21,2.456790,0.027145,0.000000,0.000000,0.000000,0.000000,0.928735,0.838642,0.095398,0.243562,27.617630,20.692883,0.154260,0.344089,0.619813,1.000000,1.000000,1.000000,0.047664,0.051402,0.619086,"[1.0, 1.0, 1.0, 0.0476635516726999, 0.04776410762504758]",1.000000,1.000000,1.000000,0.047664,0.047764,0.621547,"[1.0, 1.0, 1.0, 0.03457943943603662, 0.0731555258671278]",1.000000,1.000000,1.000000,0.034579,0.073156,0.617945,"[1.0, 1.0, 1.0, 0.03457943943603662, 0.05514497248037346]",1.000000,1.000000,1.000000,0.034579,0.055145
22,2.668937,0.050995,0.053515,0.022126,0.065415,0.107339,0.928697,0.838703,0.095408,0.243228,27.613866,20.703820,0.154311,0.343628,0.620056,1.000000,1.000000,1.000000,0.047664,0.052617,0.619214,"[1.0, 1.0, 1.0, 0.04766355166412481, 0.048404300179429115]",1.000000,1.000000,1.000000,0.047664,0.048404,0.622226,"[1.0, 1.0, 1.0, 0.03457943943336068, 0.07655035339956616]",1.000000,1.000000,1.000000,0.034579,0.076550,0.618318,"[1.0, 1.0, 1.0, 0.03457943943336068, 0.05701084375713917]",1.000000,1.000000,1.000000,0.034579,0.057011
23,2.434300,0.023589,0.000000,0.000000,0.000000,0.000000,0.928693,0.838709,0.095412,0.243195,27.613556,20.704841,0.154315,0.343586,0.620073,1.000000,1.000000,1.000000,0.047664,0.052702,0.619222,"[1.0, 1.0, 1.0, 0.04766355166354348, 0.048448844315645175]",1.000000,1.000000,1.000000,0.047664,0.048449,0.622270,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.07677199222000197]",1.000000,1.000000,1.000000,0.034579,0.076772,0.618342,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.057132345099467706]",1.000000,1.000000,1.000000,0.034579,0.057132
24,2.430935,0.014692,0.000000,0.000000,0.000000,0.000000,0.928690,0.838715,0.095423,0.243203,27.613154,20.704522,0.154322,0.343601,0.620073,1.000000,1.000000,1.000000,0.047664,0.052702,0.619222,"[1.0, 1.0, 1.0, 0.0476635516635434, 0.04844884322736581]",1.000000,1.000000,1.000000,0.047664,0.048449,0.622270,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.0767720074440792]",1.000000,1.000000,1.000000,0.034579,0.076772,0.618342,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.057132353592780925]",1.000000,1.000000,1.000000,0.034579,0.057132
25,2.391217,0.016707,0.000000,0.000000,0.000000,0.000000,0.928689,0.838714,0.095427,0.243205,27.613019,20.704473,0.154324,0.343602,0.620073,1.000000,1.000000,1.000000,0.047664,0.052702,0.619222,"[1.0, 1.0, 1.0, 0.0476635516635434, 0.04844884322736581]",1.000000,1.000000,1.000000,0.047664,0.048449,0.622270,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.0767720074440792]",1.000000,1.000000,1.000000,0.034579,0.076772,0.618342,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.057132353592780925]",1.000000,1.000000,1.000000,0.034579,0.057132
26,2.434459,0.012847,0.000000,0.000000,0.000000,0.000000,0.928685,0.838710,0.095442,0.243192,27.612425,20.704903,0.154333,0.343584,0.620073,1.000000,1.000000,1.000000,0.047664,0.052702,0.619222,"[1.0, 1.0, 1.0, 0.0476635516635434, 0.04844884322736581]",1.000000,1.000000,1.000000,0.047664,0.048449,0.622270,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.0767720074440792]",1.000000,1.000000,1.000000,0.034579,0.076772,0.618342,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.057132353592780925]",1.000000,1.000000,1.000000,0.034579,0.057132
27,2.418256,0.011511,0.000000,0.000000,0.000000,0.000000,0.928680,0.838710,0.095457,0.243193,27.611719,20.704899,0.154345,0.343584,0.620073,1.000000,1.000000,1.000000,0.047664,0.052702,0.619222,"[1.0, 1.0, 1.0, 0.0476635516635434, 0.04844884322736581]",1.000000,1.000000,1.000000,0.047664,0.048449,0.622270,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.0767720074440792]",1.000000,1.000000,1.000000,0.034579,0.076772,0.618342,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.057132353592780925]",1.000000,1.000000,1.000000,0.034579,0.057132
28,2.451320,0.016443,0.000000,0.000000,0.000000,0.000000,0.928678,0.838709,0.095465,0.243196,27.611316,20.704809,0.154352,0.343587,0.620073,1.000000,1.000000,1.000000,0.047664,0.052702,0.619222,"[1.0, 1.0, 1.0, 0.0476635516635434, 0.04844884322736581]",1.000000,1.000000,1.000000,0.047664,0.048449,0.622270,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.0767720074440792]",1.000000,1.000000,1.000000,0.034579,0.076772,0.618342,"[1.0, 1.0, 1.0, 0.03457943943317741, 0.057132353592780925]",1.000000,1.000000,1.000000,0.034579,0.057132
29,2.593987,0.028011,0.034976,0.014357,0.042704,0.069899,0.928649,0.838734,0.095467,0.243080,27.609455,20.708472,0.154380,0.343432,0.620154,1.000000,1.000000,1.000000,0.047664,0.053106,0.619265,"[1.0, 1.0, 1.0, 0.04766355166110038, 0.048660021072974645]",1.000000,1.000000,1.000000,0.047664,0.048660,0.622335,"[1.0, 1.0, 1.0, 0.034579439432534886, 0.07709739741324285]",1.000000,1.000000,1.000000,0.034579,0.077097,0.618377,"[1.0, 1.0, 1.0, 0.034579439432534886, 0.05730489784304234]",1.000000,1.000000,1.000000,0.034579,0.057305
30,2.452057,0.016746,0.000000,0.000000,0.000000,0.000000,0.928639,0.838738,0.095473,0.243044,27.608603,20.709677,0.154394,0.343381,0.620186,1.000000,1.000000,1.000000,0.047664,0.053269,0.619282,"[1.0, 1.0, 1.0, 0.047663551660293645, 0.048745203208155674]",1.000000,1.000000,1.000000,0.047664,0.048745,0.622357,"[1.0, 1.0, 1.0, 0.03457943943233219, 0.07720483516148088]",1.000000,1.000000,1.000000,0.034579,0.077205,0.618388,"[1.0, 1.0, 1.0, 0.03457943943233219, 0.0573624717808785]",1.000000,1.000000,1.000000,0.034579,0.057362
